# Step, Time, Vinf, Density, AoA
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.000000000000000000e+00,4.000000000000000083e-02,5.002160490322250297e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.000000000000000000e+00,8.000000000000000167e-02,5.008604619541540792e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.000000000000000000e+00,1.199999999999999956e-01,5.019221007827363579e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.000000000000000000e+00,1.600000000000000033e-01,5.033826162346527688e+00,4.547803996248778180e-01,8.372643929581978506e-02
5.000000000000000000e+00,2.000000000000000111e-01,5.052167648739083639e+00,4.547803996248778180e-01,8.372643929581978506e-02
6.000000000000000000e+00,2.399999999999999911e-01,5.073928454174257752e+00,4.547803996248778180e-01,8.372643929581978506e-02
7.000000000000000000e+00,2.800000000000000266e-01,5.098732466575673250e+00,4.547803996248778180e-01,8.372643929581978506e-02
8.000000000000000000e+00,3.200000000000000067e-01,5.126150975313359837e+00,4.547803996248778180e-01,8.372643929581978506e-02
9.000000000000000000e+00,3.599999999999999867e-01,5.155710081005092427e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.000000000000000000e+01,4.000000000000000222e-01,5.186898886356618554e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.100000000000000000e+01,4.400000000000000022e-01,5.219178326470943041e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.200000000000000000e+01,4.799999999999999822e-01,5.251990486004268099e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.300000000000000000e+01,5.200000000000000178e-01,5.284768242131602456e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.400000000000000000e+01,5.600000000000000533e-01,5.316945066653761209e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.500000000000000000e+01,5.999999999999999778e-01,5.347964817826897033e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.600000000000000000e+01,6.400000000000000133e-01,5.377291352673345237e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.700000000000000000e+01,6.800000000000000488e-01,5.404417793635337475e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.800000000000000000e+01,7.199999999999999734e-01,5.428875289407470106e+00,4.547803996248778180e-01,8.372643929581978506e-02
1.900000000000000000e+01,7.600000000000000089e-01,5.450241118526366613e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.000000000000000000e+01,8.000000000000000444e-01,5.468145995655720348e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.100000000000000000e+01,8.399999999999999689e-01,5.482280454285460181e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.200000000000000000e+01,8.800000000000000044e-01,5.492400195526945694e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.300000000000000000e+01,9.200000000000000400e-01,5.498330310556051259e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.400000000000000000e+01,9.599999999999999645e-01,5.499968303723734131e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.500000000000000000e+01,1.000000000000000000e+00,5.497285864082901874e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.600000000000000000e+01,1.040000000000000036e+00,5.490329354712626397e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.700000000000000000e+01,1.080000000000000071e+00,5.479219011382275184e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.800000000000000000e+01,1.120000000000000107e+00,5.464146864405787341e+00,4.547803996248778180e-01,8.372643929581978506e-02
2.900000000000000000e+01,1.159999999999999920e+00,5.445373419604587539e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.000000000000000000e+01,1.199999999999999956e+00,5.423223155745143131e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.100000000000000000e+01,1.239999999999999991e+00,5.398078916273081340e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.200000000000000000e+01,1.280000000000000027e+00,5.370375292276721169e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.300000000000000000e+01,1.320000000000000062e+00,5.340591111048345496e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.400000000000000000e+01,1.360000000000000098e+00,5.309241160070355292e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.500000000000000000e+01,1.400000000000000133e+00,5.276867289468277988e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.600000000000000000e+01,1.439999999999999947e+00,5.244029046715150244e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.700000000000000000e+01,1.479999999999999982e+00,5.211294005456314160e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.800000000000000000e+01,1.520000000000000018e+00,5.179227955610476997e+00,4.547803996248778180e-01,8.372643929581978506e-02
3.900000000000000000e+01,1.560000000000000053e+00,5.148385124300554061e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.000000000000000000e+01,1.600000000000000089e+00,5.119298596634994425e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.100000000000000000e+01,1.640000000000000124e+00,5.092471101906031805e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.200000000000000000e+01,1.679999999999999938e+00,5.068366324455523042e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.300000000000000000e+01,1.719999999999999973e+00,5.047400889390683432e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.400000000000000000e+01,1.760000000000000009e+00,5.029937161667987766e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.500000000000000000e+01,1.800000000000000044e+00,5.016276983005317547e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.600000000000000000e+01,1.840000000000000080e+00,5.006656454873080975e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.700000000000000000e+01,1.880000000000000115e+00,5.001241857734674667e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.800000000000000000e+01,1.919999999999999929e+00,5.000000000000000000e+00,4.547803996248778180e-01,8.372643929581978506e-02
4.900000000000000000e+01,1.959999999999999964e+00,5.000000000000000000e+00,4.547803996248778180e-01,8.372643929581978506e-02
5.000000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,4.547803996248778180e-01,8.372643929581978506e-02
5.100000000000000000e+01,2.040000000000000036e+00,5.000000000000000000e+00,4.547803996248778180e-01,8.372643929581978506e-02
5.200000000000000000e+01,2.080000000000000071e+00,5.000000000000000000e+00,4.547803996248778180e-01,8.372643929581978506e-02
5.300000000000000000e+01,2.120000000000000107e+00,5.000000000000000000e+00,4.547803996248778180e-01,8.372643929581978506e-02
5.400000000000000000e+01,2.160000000000000142e+00,5.000000000000000000e+00,4.547803996248778180e-01,8.372643929581978506e-02
